id,char_id,encode_type,code,ncr_code,tone,pic,ext_info,gmt_create,gmt_modified,code_point,font,weight
2.02205E+12,d88cab,PUA,,,,,,2022/6/27 16:56,56:25.0,,,10
2.02205E+12,d88cab,UNICODE,𮧵,&#55418;&#56821;,,,"{""ncr_code_hex"":""2E9F5""}",56:25.0,56:25.0,2E9F5,,10
2.02205E+12,d88cab,PINYIN,WEI,,3,,,56:25.0,56:25.0,,,10
2.02205E+12,d88cab,SPLIT,韦华,,,,,56:25.0,56:25.0,,,10
2.02205E+12,d88cab,TRADITIONAL,韡,&#38881;,,,"{""ncr_code_hex"":""97E1""}",56:25.0,56:25.0,9.70E+02,,10
2.02205E+12,84c3c9,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,84c3c9,UNICODE,𬀩,&#55408;&#56361;,,,"{""ncr_code_hex"":""2C029""}",56:25.0,56:25.0,2C029,,10
2.02205E+12,84c3c9,PINYIN,WEI,,3,,,56:25.0,56:25.0,,,10
2.02205E+12,84c3c9,SPLIT,日韦,,,,,56:25.0,56:25.0,,,10
2.02205E+12,84c3c9,TRADITIONAL,暐,&#26256;,,,"{""ncr_code_hex"":""6690""}",56:25.0,56:25.0,6690,,10
2.02205E+12,4e9967,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,4e9967,UNICODE,𣲗,&#55375;&#56471;,,,"{""ncr_code_hex"":""23C97""}",56:25.0,56:25.0,23C97,,10
2.02205E+12,4e9967,PINYIN,WEI,,2,,,56:25.0,56:25.0,,,10
2.02205E+12,4e9967,SPLIT,氵韦,,,,,56:25.0,56:25.0,,,10
2.02205E+12,4e9967,SPLIT,水韦,,,,,56:25.0,56:25.0,,,10
2.02205E+12,4e9967,TRADITIONAL,湋,&#28235;,,,"{""ncr_code_hex"":""6E4B""}",56:25.0,56:25.0,6E4B,,10
2.02205E+12,1968a4,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,1968a4,UNICODE,𫰍,&#55407;&#56333;,,,"{""ncr_code_hex"":""2BC0D""}",56:25.0,56:25.0,2BC0D,,10
2.02205E+12,1968a4,PINYIN,WEI,,2,,,56:25.0,56:25.0,,,10
2.02205E+12,1968a4,PINYIN,WEI,,3,,,56:25.0,56:25.0,,,10
2.02205E+12,1968a4,SPLIT,女韦,,,,,56:25.0,56:25.0,,,10
2.02205E+12,1968a4,TRADITIONAL,媁,&#23169;,,,"{""ncr_code_hex"":""5A81""}",56:25.0,56:25.0,5A81,,10
2.02205E+12,1ef9de,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,1ef9de,UNICODE,𬱵,&#55411;&#56437;,,,"{""ncr_code_hex"":""2CC75""}",56:25.0,56:25.0,2CC75,,10
2.02205E+12,1ef9de,PINYIN,WEI,,3,,,56:25.0,56:25.0,,,10
2.02205E+12,1ef9de,SPLIT,风韦,,,,,56:25.0,56:25.0,,,10
2.02205E+12,1ef9de,TRADITIONAL,颹,&#39097;,,,"{""ncr_code_hex"":""98B9""}",56:25.0,56:25.0,98B9,,10
2.02205E+12,2c64ee,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,2c64ee,UNICODE,𬬬,&#55410;&#57132;,,,"{""ncr_code_hex"":""2CB2C""}",56:25.0,56:25.0,2CB2C,,10
2.02205E+12,2c64ee,PINYIN,WEI,,2,,,56:25.0,56:25.0,,,10
2.02205E+12,2c64ee,SPLIT,钅韦,,,,,56:25.0,56:25.0,,,10
2.02205E+12,2c64ee,SPLIT,金韦,,,,,56:25.0,56:25.0,,,10
2.02205E+12,2c64ee,TRADITIONAL,鍏,&#37711;,,,"{""ncr_code_hex"":""934F""}",56:25.0,56:25.0,934F,,10
2.02205E+12,246507,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,246507,UNICODE,𬱟,&#55411;&#56415;,,,"{""ncr_code_hex"":""2CC5F""}",56:25.0,56:25.0,2CC5F,,10
2.02205E+12,246507,PINYIN,WEI,,2,,,56:25.0,56:25.0,,,10
2.02205E+12,246507,SPLIT,危页,,,,,56:25.0,56:25.0,,,10
2.02205E+12,246507,TRADITIONAL,頠,&#38944;,,,"{""ncr_code_hex"":""9820""}",56:25.0,56:25.0,9820,,10
2.02205E+12,2337c3,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,2337c3,UNICODE,𬎆,&#55408;&#57222;,,,"{""ncr_code_hex"":""2C386""}",56:25.0,56:25.0,2C386,,10
2.02205E+12,2337c3,PINYIN,YING,,2,,,56:25.0,56:25.0,,,10
2.02205E+12,2337c3,SPLIT,王莹,,,,,56:25.0,56:25.0,,,10
2.02205E+12,2337c3,TRADITIONAL,㼆,&#16134;,,,"{""ncr_code_hex"":""3F06""}",56:25.0,56:25.0,3F06,,10
2.02205E+12,9427be,PUA,,,,,,56:25.0,56:25.0,,,8
2.02205E+12,9427be,UNICODE,𬀪,&#55408;&#56362;,,,"{""ncr_code_hex"":""2C02A""}",56:25.0,56:25.0,2C02A,,8
2.02205E+12,9427be,PINYIN,XIAN,,1,,,56:25.0,56:25.0,,,8
2.02205E+12,9427be,SPLIT,日见,,,,,56:25.0,56:25.0,,,8
2.02205E+12,9427be,TRADITIONAL,晛,&#26203;,,,"{""ncr_code_hex"":""665B""}",56:25.0,56:25.0,665B,,8
2.02205E+12,c97fbd,PUA,,,,,,56:25.0,56:25.0,,,10
2.02205E+12,c97fbd,UNICODE,𥖄,&#55381;&#56708;,,,"{""ncr_code_hex"":""25584""}",56:25.0,56:25.0,25584,,10
2.02205E+12,c97fbd,PINYIN,XIAN,,4,,,56:25.0,56:25.0,,,10
2.02205E+12,c97fbd,SPLIT,石羡,,,,,56:25.0,56:25.0,,,10
2.02205E+12,fd164b,PUA,,,,,,56:25.0,56:25.0,,,8
2.02205E+12,fd164b,UNICODE,𬭣,&#55410;&#57187;,,,"{""ncr_code_hex"":""2CB63""}",56:25.0,56:25.0,2CB63,,8
2.02205E+12,fd164b,PINYIN,XIAN,,4,,,56:25.0,56:25.0,,,8
2.02205E+12,fd164b,SPLIT,钅泉,,,,,56:25.0,56:25.0,,,8
2.02205E+12,fd164b,SPLIT,金泉,,,,,56:25.0,56:25.0,,,8
2.02205E+12,fd164b,TRADITIONAL,䤼,&#18748;,,,"{""ncr_code_hex"":""493C""}",56:25.0,56:25.0,493C,,8
2.02205E+12,66c867,PUA,,,,,,56:25.0,56:25.0,,,10
